symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BLK,2020-03-13 00:00:00+00:00,413.78,419.24,388.0,415.11,1579311,371.6887154949,376.5933034078,348.5311557157,372.8834228071,1579311,0.0,1.0
BLK,2020-03-16 00:00:00+00:00,357.28,376.57,354.01,368.44,1569221,320.9361116343,338.2638590409,317.9987485436,330.960873742,1569221,0.0,1.0
BLK,2020-03-17 00:00:00+00:00,386.76,398.24,355.39,366.21,1609572,347.4172932593,357.7295037428,319.2383696644,328.9577178728,1609572,0.0,1.0
BLK,2020-03-18 00:00:00+00:00,373.36,374.57,323.98,357.17,1969422,335.3803925206,336.4673066918,291.0235150226,320.8373012551,1969422,0.0,1.0
BLK,2020-03-19 00:00:00+00:00,397.36,415.15,351.3,367.29,1593652,356.9390207092,372.919353854,315.5644201106,329.9278561413,1593652,0.0,1.0
BLK,2020-03-20 00:00:00+00:00,354.72,402.4,350.96,401.01,1363046,318.6365246275,361.4663326288,315.2590062113,360.2177287463,1363046,0.0,1.0
BLK,2020-03-23 00:00:00+00:00,327.42,354.72,326.28,354.72,1422783,294.113585063,318.6365246275,293.089550224,318.6365246275,1422783,0.0,1.0
BLK,2020-03-24 00:00:00+00:00,371.7,373.06,346.29,349.3,1317950,333.8892540709,335.1109096683,311.0640564763,313.7678677616,1317950,0.0,1.0
BLK,2020-03-25 00:00:00+00:00,401.38,439.99,377.0,384.9,1950286,360.5500909308,395.2325340292,338.6501177959,345.7464995747,1950286,0.0,1.0
BLK,2020-03-26 00:00:00+00:00,451.9,454.5,405.57,408.06,1598218,405.9310032678,408.2665213216,364.3138681021,366.5505757767,1598218,0.0,1.0
BLK,2020-03-27 00:00:00+00:00,434.34,449.48,421.12,428.54,1044163,390.1572736432,403.7571749255,378.282062616,384.9472718309,1044163,0.0,1.0
BLK,2020-03-30 00:00:00+00:00,455.35,456.25,434.51,438.0,1177327,409.0300560699,409.838504627,390.3099805928,393.4449644419,1177327,0.0,1.0
BLK,2020-03-31 00:00:00+00:00,439.97,458.63,436.99,451.89,1389186,395.2145685058,411.9764019224,392.5377055057,405.9220205061,1389186,0.0,1.0
BLK,2020-04-01 00:00:00+00:00,409.54,424.5,401.9,418.11,1163663,367.880024515,381.3182360859,361.0171945416,375.5782513306,1163663,0.0,1.0
BLK,2020-04-02 00:00:00+00:00,426.53,433.87,406.19,408.18,640963,383.1417367201,389.7350838412,364.8707993303,366.6583689176,640963,0.0,1.0
